,color,keyword,set,release_date,count
523,blue,flash,Journey into Nyx,2014-05-02,2
524,blue,flash,Kaladesh,2016-09-30,1
525,blue,flash,Khans of Tarkir,2014-09-26,2
526,blue,flash,Lorwyn,2007-10-12,7
527,blue,flash,Magic 2013,2012-07-13,1
528,blue,flash,Magic 2015 Core Set,2014-07-18,1
529,blue,flash,Magic Origins,2015-07-17,5
530,blue,flash,Masterpiece Series: Kaladesh Inventions,2016-09-30,1
531,blue,flash,Morningtide,2008-02-01,3
532,blue,flash,New Phyrexia,2011-05-13,3
533,blue,flash,Return to Ravnica,2012-10-05,4
534,blue,flash,Rivals of Ixalan,2018-01-19,1
535,blue,flash,Shadowmoor,2008-05-02,5
536,blue,flash,Shadows over Innistrad,2016-04-08,2
537,blue,flash,Tempest,1997-10-14,1
538,blue,flash,Theros,2013-09-27,3
539,blue,flash,Time Spiral,2006-10-06,5
540,blue,flying,Aether Revolt,2017-01-20,7
541,blue,flying,Alara Reborn,2009-04-30,15
542,blue,flying,Alliances,1996-06-10,5
543,blue,flying,Amonkhet,2017-04-28,10
544,blue,flying,Apocalypse,2001-06-04,7
545,blue,flying,Arabian Nights,1993-12-17,3
546,blue,flying,Avacyn Restored,2012-05-04,7
547,blue,flying,Battle for Zendikar,2015-10-02,6
548,blue,flying,Battlebond,2018-06-08,3
549,blue,flying,Betrayers of Kamigawa,2005-02-04,7
550,blue,flying,Born of the Gods,2014-02-07,8
551,blue,flying,Champions of Kamigawa,2004-10-01,16
552,blue,flying,Coldsnap,2006-07-21,10
553,blue,flying,Commander 2013 Edition,2013-11-01,3
554,blue,flying,Commander 2015,2015-11-13,1
555,blue,flying,Commander 2016,2016-11-11,5
556,blue,flying,Commander 2017,2017-08-25,3
557,blue,flying,Commander 2018,2018-08-10,2
